Dataname,Cyclic Group,Epoch,Train Accuracy,Train Loss,Test Accuracy,Test Loss
rotmnist,8,44,99.96666667,0.64151758,97.972,56.65523148
rotmnist,8,45,99.99166667,0.539384723,97.87,57.53099823
rotmnist,8,46,99.61666667,2.260005236,97.68,62.92572021
rotmnist,8,47,99.78333333,1.799444675,97.808,60.19452667
rotmnist,8,48,99.90833333,0.975832283,97.564,68.68882751
rotmnist,8,49,99.95,0.662943602,97.404,72.54480743
rotmnist,8,50,99.95833333,0.663936615,97.91,56.73605728
rotmnist,8,51,99.98333333,0.342675596,97.966,56.4635582
rotmnist,8,52,99.99166667,0.285720497,97.986,55.50844193
rotmnist,8,53,100,0.267703533,98.094,53.52537155
rotmnist,8,54,99.99166667,0.233588308,97.934,56.70969391
rotmnist,8,55,99.525,3.000579596,97.684,63.58573532
rotmnist,8,56,99.9,1.304709554,97.842,58.92332077
rotmnist,8,57,99.90833333,0.832643151,97.778,61.36902618
rotmnist,8,58,99.91666667,0.668746471,97.82,60.01638794
rotmnist,8,59,99.99166667,0.328352153,98.086,51.45116043
rotmnist,8,60,99.98333333,0.300582379,97.998,54.43821335
rotmnist,8,61,99.98333333,0.314664841,97.956,56.68058014
rotmnist,8,62,100,0.188549384,98.1,51.07871246
rotmnist,8,63,100,0.133101538,98.11,49.9652977
rotmnist,8,64,100,0.109117903,98.15,50.04758835
rotmnist,8,65,100,0.10707026,98.134,50.22338486
rotmnist,8,66,100,0.094893992,98.176,50.33449554
rotmnist,8,67,100,0.093857057,98.168,50.30812454
rotmnist,8,68,100,0.08419808,98.162,50.47546768
rotmnist,8,69,100,0.073755331,98.182,49.51425552
rotmnist,8,70,100,0.071152233,98.166,50.64886093
rotmnist,8,71,100,0.063446701,98.178,50.47206879
rotmnist,8,72,100,0.05781379,98.166,50.57929993
rotmnist,8,73,100,0.054234009,98.166,50.52724075
rotmnist,8,74,100,0.049730118,98.162,50.39011002
rotmnist,8,75,100,0.046176456,98.198,50.25895309
rotmnist,8,76,100,0.043165401,98.182,50.58043289
rotmnist,8,77,100,0.042167373,98.176,50.82609177
rotmnist,8,78,99.7,1.573343754,96.21,127.8382568
rotmnist,8,79,98.775,7.123782635,97.65,62.48797226
rotmnist,8,80,99.79166667,1.814257383,97.92,54.35439301
rotmnist,8,81,99.98333333,0.49562633,97.996,52.77188492
rotmnist,8,82,99.95833333,0.447670251,97.966,55.66623306
rotmnist,8,83,99.99166667,0.342184007,98.074,52.01146317
rotmnist,8,84,99.99166667,0.221822947,98.038,53.09593582
rotmnist,8,85,100,0.131110668,98.144,50.81935883
rotmnist,8,86,100,0.109187357,98.168,50.68400192
rotmnist,8,87,100,0.125407562,98.132,51.94503784
rotmnist,8,88,100,0.096903302,98.18,50.5830574
rotmnist,8,89,100,0.082676508,98.238,49.38615036
rotmnist,8,90,100,0.071368225,98.2,49.88308334
rotmnist,8,91,100,0.058919769,98.192,50.71021271
rotmnist,8,92,100,0.066764928,98.182,51.47806168
rotmnist,8,93,99.425,3.332876205,96.846,86.53134918
rotmnist,8,94,99.7,1.889128566,97.676,61.35350037
rotmnist,8,95,99.96666667,0.502732933,97.826,59.14731216
rotmnist,8,96,99.95,0.460157514,97.93,55.9544754
rotmnist,8,97,100,0.181336001,98.004,54.02809143
rotmnist,8,98,100,0.108431511,98.088,52.38571548
rotmnist,8,99,100,0.141258508,98.04,53.19599152
