Cyclic Group,Epoch,Train Accuracy,Train Loss,Test Accuracy,Test Loss
1,49,93.30979007259172,1012.5348510742188,85.49181465038845,1774.8082275390625
1,50,93.47014925373134,1009.5010986328125,85.9322974472808,1771.0306396484375
1,51,93.86250478743776,992.1604614257812,85.87333518312985,1759.436767578125
1,52,93.72397804693414,977.9290161132812,86.14733629300777,1755.595458984375
1,53,94.1205348793716,969.0725708007812,86.14039955604883,1730.048828125
1,54,94.0169162506933,961.0985717773438,85.51956159822419,1880.046875
1,55,94.33500914076782,937.0767211914062,85.7727524972253,1809.1949462890625
1,56,94.20289855072464,951.370361328125,86.23057713651498,1723.5023193359375
1,57,94.34021543985638,924.6771240234375,85.24556048834629,1869.41357421875
1,58,94.57072953736655,898.9568481445312,86.33115982241954,1769.6025390625
1,59,94.75088183421518,885.0181274414062,85.82824639289677,1853.149658203125
1,60,94.69405594405595,891.15576171875,85.7623473917869,1813.4595947265625
1,61,94.79419410745234,890.8869018554688,86.04328523862375,1853.3692626953125
1,62,94.74871134020619,907.1399536132812,86.33809655937846,1824.70068359375
1,63,94.925468483816,880.8346557617188,85.64442286348502,1885.46044921875
1,64,95.08657094594595,865.154296875,86.09531076581575,1910.61962890625
8,0,41.26436781609195,1630.2655029296875,58.35876803551609,5214.62060546875
8,1,56.7394578313253,1454.185302734375,61.79245283018868,4491.5380859375
8,2,64.55525606469003,1383.2677001953125,69.53731964483907,3718.48193359375
8,3,69.03061224489797,1329.5546875,72.15940621531631,3432.367431640625
8,4,72.28139013452915,1286.1246337890625,71.22988346281909,3483.385009765625
8,5,75.56896551724138,1246.1851806640625,71.64955604883463,3453.9736328125
8,6,77.81509916826616,1198.2501220703125,74.12943951165371,3074.79296875
8,7,80.1044776119403,1152.2210693359375,77.75041620421753,2706.31298828125
8,8,81.40380313199105,1157.79541015625,76.86945061043285,2694.23828125
8,9,83.50657894736842,1088.8101806640625,77.89608768035517,2539.299072265625
8,10,84.401390958768,1073.6552734375,76.5156770255272,2675.587646484375
8,11,85.41764705882353,1044.4521484375,78.28454495005549,2557.373046875
8,12,86.86885612153709,1010.4940795898438,80.09156492785795,2329.530517578125
8,13,87.98035866780529,965.2344360351562,79.09267480577137,2448.774658203125
8,14,88.38042588042589,956.1531982421875,77.75041620421753,2605.431396484375
8,15,88.94079464988198,921.245849609375,78.56201442841288,2552.910888671875
8,16,89.45445920303605,925.5934448242188,79.89733629300777,2413.492919921875
8,17,90.23136246786633,907.1201782226562,80.90663152053274,2277.298583984375
8,18,90.27580071174377,885.8117065429688,80.02566592674806,2331.185791015625
8,19,91.0430349118562,865.6334228515625,81.31243063263041,2191.308349609375
8,20,91.08406334231806,852.847412109375,80.93437846836848,2291.72509765625
8,21,92.07607624055208,794.6845092773438,80.4765538290788,2327.4306640625
8,22,91.861770365619,820.796630859375,81.90205327413985,2123.585693359375
8,23,92.40526150955215,781.921875,80.79564372918979,2332.88623046875
8,24,92.48011015911872,783.0757446289062,81.52746947835739,2239.87548828125
8,25,92.85073287466348,770.153076171875,81.6107103218646,2245.266357421875
8,26,93.09903452311293,755.082763671875,82.03731964483907,2217.971435546875
8,27,93.31162324649299,751.9462280273438,81.74944506104328,2305.20751953125
8,28,93.49775784753363,746.0108032226562,81.70782463928968,2293.68505859375
8,29,93.81690914081801,717.1943969726562,82.6165371809101,2216.39794921875
8,30,93.88448090371168,715.0357055664062,82.9772475027747,2135.600341796875
8,31,93.95267598207224,714.1887817382812,82.3737513873474,2218.849609375
8,32,94.04084798345397,711.9117431640625,82.95990566037736,2144.630126953125
8,33,94.45219376109561,672.0530395507812,83.21656492785795,2113.858154296875
8,34,94.57752613240417,677.0214233398438,83.157602663707,2204.31298828125
8,35,94.61275348155387,664.4850463867188,83.48016093229744,2164.56689453125
8,36,94.96461132437621,644.6405639648438,82.15524417314096,2353.336181640625
8,37,95.26867782229554,629.7388305664062,83.80965593784684,2162.047119140625
8,38,95.09321445113478,653.9074096679688,83.24084350721421,2204.697998046875
